aluno_id,nome_aluno,email_aluno,curso,status,turma,sexo,idade,trabalha,renda_familiar,acompanhamento_medico,tem_filho,estado_civil,semestre,bimestre,aula_1,professor_1,notas_1,faltas_1,desempenho_1,aula_2,professor_2,notas_2,faltas_2,desempenho_2,aula_3,professor_3,notas_3,faltas_3,desempenho_3,aula_4,professor_4,notas_4,faltas_4,desempenho_4,aula_5,professor_5,notas_5,faltas_5,desempenho_5,risco_evasao
11,Lorena da Cruz,sabrinacamara@example.net,Banco de Dados,Cancelado,A,Feminino,39,1,6228,1,0,Viúvo(a),7,3,Auditoria,Heitor Lopes,2.98,5,Ruim,Contabilidade de Custos,Ana Sophia Cassiano,8.58,2,Excelente,Contabilidade Geral,José Moreira,0.45,0,Ruim,Análise Financeira,Raul da Paz,0.75,0,Ruim,Contabilidade Tributária,José Miguel Sousa,6.0,9,Regular,1
12,Letícia Camargo,hadassa17@example.net,concluido,Trancado,D,Masculino,41,1,5666,0,1,Amasiado(a),7,3,Clínica Médica,Luna Leão,5.78,2,Regular,Fisiologia,Sr. Lucca Monteiro,3.88,2,Ruim,Anatomia,Henrique Mendonça,3.72,6,Ruim,Farmacologia,Dr. Pedro Marques,2.63,8,Ruim,Patologia,Ísis Caldeira,0.02,1,Ruim,1
13,Vitor Gabriel Cardoso,maya80@example.net,Engenharia Civil,Trancado,D,Masculino,39,1,8191,0,1,Solteiro(a),8,1,Materiais de Construção,Gabriela Monteiro,8.33,13,Ruim,Construção Civil,Allana Barros,9.2,4,Bom,Cálculo Estrutural,Heloísa Borges,7.22,12,Ruim,Topografia,Vitor Hugo Aragão,7.61,7,Regular,Mecânica dos Solos,Isaac Fernandes,6.51,14,Ruim,1
14,Davi Luiz Duarte,vnovaes@example.net,Música,Matriculado,B,Masculino,52,1,2654,0,0,Separado(a),4,3,Prática Instrumental,Heloisa Pacheco,2.32,10,Ruim,Teoria Musical,Sofia Almeida,4.79,1,Ruim,História da Música,Daniela Brito,0.24,8,Ruim,Composição Musical,Anna Liz Novaes,6.61,10,Regular,Arranjo Musical,André Borges,9.59,10,Regular,1
15,Elisa Gomes,maria-luizacavalcante@example.net,Psicologia,Trancado,A,Masculinas,33,1,INVALID,1,0,Separado(a),5,4,Gestão de Restaurante,Dra. Bruna da Costa,3.01,9,Ruim,Nutrição e Dietética,Theo Caldeira,3.86,13,Ruim,Cultura Gastronômica,Maria Fernanda Nascimento,3.23,0,Ruim,Técnicas Culinárias,Pietra Montenegro,2.59,15,Ruim,Culinária Internacional,Matteo Garcia,8.62,4,Bom,1
16,Carolina Viana,ana-laurasiqueira@example.org,Terapia Ocupacional,Matriculado,C,Feminino,68,1,1592,0,1,Casado(a),2,1,Psicologia Clínica,Dr. Gustavo Garcia,4.64,15,Ruim,Avaliação Terapêutica,Pietra Cardoso,6.34,2,Regular,Fisioterapia,Sophia Sousa,1.42,5,Ruim,Técnicas de Reabilitação,Luiz Fernando Camargo,4.91,7,Ruim,Desenvolvimento Humano,Isabella Sá,3.54,11,Ruim,1
17,Raquel Carvalho,boliveira@example.org,1233E,Cancelado,C,Outro,24,0,2878,0,0,Amasiado(a),2,2,Nutrição e Dietética,Ravi Moreira,8.92,12,Ruim,Técnicas Culinárias,Lucca da Cunha,4.35,6,Ruim,Cultura Gastronômica,Dr. Luiz Miguel Sales,0.61,8,Ruim,Culinária Internacional,Gabriela Vasconcelos,1.17,6,Ruim,Gestão de Restaurante,Sr. Apollo Cavalcante,4.28,3,Ruim,0
18,Brenda Brito,bruna63@example.net,Direito,Trancado,B,Outro,18,1,7186,0,1,Solteiro(a),3,1,Processo Civil,Brenda Pinto,2.53,13,Ruim,Processo Penal,Ana Vitória Cassiano,7.05,6,Regular,Direito Penal,Maria Clara Moreira,3.47,15,Ruim,Direito Civil,Lunna Brito,7.9,15,Ruim,Constitucional,Dra. Emanuelly Ribeiro,1.94,6,Ruim,0
19,Sr. Vitor Hugo Ramos,hellena56@example.net,Engenharia Ambiental,Matriculado,B,Outro,19,1,-9239,0,1,Separado(a),7,4,Gestão Ambiental,Luiz Miguel Duarte,4.08,9,Ruim,Tecnologias Ambientais,Nicole Ferreira,3.58,15,Ruim,Ecologia,Catarina Cavalcante,4.49,9,Ruim,Política Ambiental,Dr. Mathias Siqueira,0.14,1,Ruim,Sistemas de Gestão Ambiental,Emilly Correia,5.07,1,Regular,1
20,Srta. Lunna Machado,isabellysampaio@example.org,Engenharia Elétrica,Concluso,C,Feminino,quinzee,1,918,0,0,Separado(a),3,3,Máquinas Elétricas,Sophia Novaes,7.51,15,Ruim,Circuitos Elétricos,Mariana Sá,3.01,0,Ruim,Eletrônica,Sra. Heloisa Moura,3.08,2,Ruim,Transformadores,Augusto Ramos,3.09,4,Ruim,Sistemas Elétricos,Catarina Rios,4.39,7,Ruim,1
21,Asafe Aragão,wjesus@example.com,Relações Internacionais,Matriculado,B,Feminino,25,0,3736,0,0,Amasiado(a),4,2,Economia Internacional,Ana Julia Silva,8.71,0,Excelente,Política Internacional,Henry Ribeiro,8.37,13,Ruim,Geopolítica,Luiz Gustavo Rocha,8.88,13,Ruim,Teoria das Relações Internacionais,Otávio Nunes,3.65,9,Ruim,Direitos Humanos,Isis Ramos,9.38,0,Excelente,0
22,Valentim Freitas,davi-lucca16@example.net,Geografia,Cancelado,D,Outro,-13,0,2531,1,1,,4,4,Geopolítica,Clara Pimenta,1.43,1,Ruim,Planejamento Urbano,Sr. Josué Cavalcanti,7.38,2,Bom,Cartografia,Murilo Souza,0.53,15,Ruim,Geografia Humana,Hellena Silva,0.77,14,Ruim,Geografia Física,Raul Porto,9.47,0,Excelente,1
23,Mariane Pimenta,martinstheo@example.net,Dança,Trancado,A,Feminino,-5,1,2735,1,1,Viúvo(a),8,4,Gestão de Eventos de Dança,Diogo Vieira,9.61,1,Excelente,Dança Contemporânea,Isis Santos,1.28,10,Ruim,Técnicas de Dança,Emilly Rocha,9.63,1,Excelente,Coreografia,Dr. Murilo Camargo,0.91,15,Ruim,História da Dança,Valentim Correia,1.11,11,Ruim,1
24,Maria Vitória Leão,castrogustavo-henrique@example.net,Gestão Pública,Concluso,C,Masculino,45,1,7911,0,1,Casado(a),5,4,Gestão de Projetos,Marcela Dias,2.62,10,Ruim,Gestão de Políticas Públicas,João Vieira,9.42,9,Regular,Administração Pública,Clara da Mata,7.85,9,Regular,Gestão de Pessoas,Aylla Ferreira,4.0,7,Ruim,Finanças Públicas,Juan Ribeiro,8.72,5,Bom,1
25,Caio Pinto,nrezende@example.net,Teologia,Trancado,A,Masculino,24,1,8117,1,0,Casado(a),6,3,História da Igreja,Pietra Abreu,5.79,13,Ruim,Teologia Sistemática,Luara Pastor,1.3,2,Ruim,Filosofia da Religião,Elisa Farias,3.07,5,Ruim,Exegese Bíblica,Dra. Amanda Cassiano,3.34,10,Ruim,Teologia Moral,Maria Alice Lopes,5.92,3,Regular,1
26,Dr. Luiz Gustavo Borges,oliviaborges@example.org,Física,Matriculado,D,INVALID,58,1,6665,0,0,Divorciado(a),2,2,Mecânica,Vitor Guerra,4.71,15,Ruim,Física Nuclear,Dr. Yago Correia,3.13,1,Ruim,Óptica,Sra. Emanuelly Moreira,7.21,15,Ruim,Eletromagnetismo,Mariana Correia,9.35,3,Excelente,Termodinâmica,Brenda Monteiro,0.6,9,Ruim,1
27,Sarah Pacheco,riosanna-liz@example.com,Física,Trancado,A,Outro,57,1,6225,1,1,Viúvo(a),7,2,Marketing e Vendas,Helena Azevedo,7.87,12,Ruim,Gestão de Vendas,Dr. Marcos Vinicius da Mata,2.96,3,Ruim,Comportamento do Consumidor,Sr. Leonardo Câmara,4.16,13,Ruim,Gestão de Relacionamento,Bianca Montenegro,3.97,4,Ruim,Gestão de Estoques,Vinícius Souza,1.32,0,Ruim,1
28,Srta. Ana Sophia Sá,pedro-lucasgomes@example.org,Educação Física,Trancado,C,Masculino,25,1,3061,0,0,Divorciado(a),1,1,Gestão do Esporte,Gabriel Garcia,1.8,6,Ruim,Fisiologia do Exercício,Dra. Clara Vasconcelos,0.23,7,Ruim,Psicologia do Esporte,Henrique Gonçalves,3.03,1,Ruim,Nutrição Esportiva,Hellena Araújo,0.21,5,Ruim,Cinesiologia,Lívia Cavalcanti,2.22,3,Ruim,0
29,Sra. Luiza Nogueira,souzaarthur@example.org,Farmácia,Matriculado,B,Outro,22,0,7368,0,1,Viúvo(a),3,1,Processo Civil,Brenda Pinto,5.72,10,Regular,Processo Penal,Ana Vitória Cassiano,8.67,5,Bom,Direito Penal,Maria Clara Moreira,5.46,0,Regular,Direito Civil,Lunna Brito,2.5,9,Ruim,Constitucional,Dra. Emanuelly Ribeiro,8.79,10,Regular,0
30,Yuri Lima,ryangarcia@example.com,Biomedicina,Trancado,C,Outro,68,1,7533,1,0,Casado(a),2,2,Nutrição e Dietética,Ravi Moreira,9.25,3,Excelente,Técnicas Culinárias,Lucca da Cunha,7.5,3,Bom,Cultura Gastronômica,Dr. Luiz Miguel Sales,8.67,15,Ruim,Culinária Internacional,Gabriela Vasconcelos,9.56,3,Excelente,Gestão de Restaurante,Sr. Apollo Cavalcante,3.46,2,Ruim,1
31,Rafaela Moura,evelyn32@example.com,Marketing,Cancelado,C,Masculinas,19,1,9722,0,0,Amasiado(a),5,2,Comportamento do Consumidor,Clara Silveira,1.7,6,Ruim,Gestão de Marketing,Luigi Azevedo,3.13,12,Ruim,Pesquisa de Mercado,Eduarda Oliveira,9.58,11,Ruim,Publicidade,Lorena Marques,4.7,12,Ruim,Marketing Digital,João Felipe Montenegro,6.12,13,Ruim,0
32,Julia da Rocha,eduardoramos@example.net,$$$$$$$,Concluso,C,Outro,44,1,3084,1,1,Separado(a),1,1,Gestão do Esporte,Gabriel Garcia,5.08,11,Ruim,Fisiologia do Exercício,Dra. Clara Vasconcelos,8.88,7,Regular,Psicologia do Esporte,Henrique Gonçalves,2.47,14,Ruim,Nutrição Esportiva,Hellena Araújo,0.06,10,Ruim,Cinesiologia,Lívia Cavalcanti,2.13,5,Ruim,1
33,Gael Henrique Ribeiro,nunesmaria@example.com,Design Gráfico,Concluso,B,Outro,6676,0,3678,1,1,XW0S2#$@43,5,4,Design Editorial,Thomas da Rosa,4.5,2,Ruim,Design Digital,Lavínia Nascimento,3.23,0,Ruim,Teoria do Design,Ágatha da Mata,8.38,15,Ruim,Tipografia,Dr. Rodrigo Lima,2.77,7,Ruim,Design de Interfaces,Arthur Gabriel Rios,5.81,14,Ruim,1
34,Gael Fogaça,barrosaurora@example.net,concluido,Matriculado,D,Masculino,61,0,1289,1,1,Solteiro(a),3,3,Marketing da Moda,Henry Moreira,7.22,11,Ruim,Design de Moda,Luiza Farias,6.88,7,Regular,Gestão de Moda,Vinicius Aragão,3.84,6,Ruim,Produção de Moda,Manuela Moreira,8.14,10,Regular,História da Moda,Sr. Enrico Sousa,1.35,4,Ruim,1
35,Daniel Novais,joao37@example.com,Redes de Computadores,Cancelado,A,Feminino,69,0,7046,0,0,Viúvo(a),5,3,Protocolos de Comunicação,Ana Carolina Cavalcanti,9.94,1,Excelente,Segurança em Redes,Dr. Pedro Miguel Teixeira,4.79,1,Ruim,Administração de Redes,Bella Melo,8.44,6,Regular,Redes de Dados,João Miguel Leão,5.97,2,Regular,Arquitetura de Redes,Dr. Kevin Pimenta,6.22,12,Ruim,0
36,Matteo Alves,ana-livia81@example.org,Teologia,Matriculado,B,Outro,25,1,5072,1,1,Viúvo(a),3,4,Teologia Moral,Manuela Lopes,0.47,10,Ruim,História da Igreja,Vitor Gabriel Carvalho,1.81,3,Ruim,Filosofia da Religião,Beatriz Sousa,1.14,10,Ruim,Exegese Bíblica,Emanuelly Martins,3.81,4,Ruim,Teologia Sistemática,João Felipe Campos,2.32,11,Ruim,1
37,Daniela Moreira,oliveiraana-julia@example.net,Turismo,Concluso,C,Outro,57,0,4631,0,0,Viúvo(a),7,4,Planejamento de Turismo,Manuella Cunha,2.39,11,Ruim,Marketing Turístico,Enzo Montenegro,2.25,15,Ruim,História do Turismo,Kaique Sales,0.94,3,Ruim,Turismo Cultural,Sra. Ana Beatriz Gonçalves,1.72,1,Ruim,Gestão de Turismo,Amanda Gonçalves,9.04,7,Regular,0
38,Sra. Maya Araújo,nfreitas@example.org,Publicidade e Propaganda,Matriculado,C,Outro,65,0,4822,1,1,Divorciado(a),6,1,Comunicação Publicitária,Maya Barbosa,4.64,14,Ruim,Comportamento do Consumidor,Pedro Lucas Azevedo,1.98,14,Ruim,Marketing Digital,Mathias Cirino,0.73,12,Ruim,Publicidade Criativa,Dr. Caleb da Cruz,2.96,5,Ruim,Relações Públicas,Maria Sophia Gonçalves,6.97,7,Regular,1
39,Dr. Marcelo Jesus,erick63@example.com,Nutrição,Cancelado,C,Outro,54,0,3105,0,1,Divorciado(a),5,1,Nutrição Infantil,Juan Viana,2.79,7,Ruim,Psicologia da Alimentação,João Miguel Martins,8.8,11,Ruim,Técnicas de Cozinha,Maria Luiza Barbosa,0.83,10,Ruim,Nutrição Clínica,Liz Moreira,6.82,7,Regular,Nutrição Esportiva,Liam Lopes,6.96,10,Regular,1
40,Mariane da Cruz,gda-mata@example.com,Jornalismo,Matriculado,A,Feminino,51,1,5778,1,0,Viúvo(a),3,4,Comunicação e Mídia,Isis Ramos,4.06,4,Ruim,Ética Jornalística,Valentim Santos,3.25,1,Ruim,Produção de Conteúdo,Luiz Miguel Nunes,5.99,12,Ruim,Redação Jornalística,Raquel da Paz,9.18,0,Excelente,Edição de Vídeo,Miguel Pinto,6.16,2,Regular,1
41,Alexia Pastor,sarahlima@example.org,Engenharia Elétrica,Cancelado,B,Outro,60,1,5360,0,0,,7,4,Gestão Ambiental,Luiz Miguel Duarte,0.81,5,Ruim,Tecnologias Ambientais,Nicole Ferreira,2.57,1,Ruim,Ecologia,Catarina Cavalcante,8.62,4,Bom,Política Ambiental,Dr. Mathias Siqueira,5.31,6,Regular,Sistemas de Gestão Ambiental,Emilly Correia,8.17,6,Regular,1
42,José Pedro Fogaça,bella26@example.org,Biologia,Concluso,B,Outro,35,0,7838,0,1,Solteiro(a),1,2,Zoologia,Clarice Pires,5.61,6,Regular,Botânica,Sophia Pires,9.09,12,Ruim,Ecologia,Cauã Silva,3.71,0,Ruim,Biologia Celular,Sr. Thiago Viana,0.18,4,Ruim,Genética,Bruna Martins,6.72,7,Regular,0
43,Sr. Rhavi Pastor,dramos@example.org,Biomedicina,Trancado,D,Masculino,65,0,8431,1,0,Viúvo(a),2,2,Mecânica,Vitor Guerra,5.94,6,Regular,Física Nuclear,Dr. Yago Correia,8.58,10,Regular,Óptica,Sra. Emanuelly Moreira,1.39,9,Ruim,Eletromagnetismo,Mariana Correia,2.39,7,Ruim,Termodinâmica,Brenda Monteiro,7.45,2,Bom,1
44,Benjamim Nascimento,davi-luiz30@example.org,Veterinária,Trancado,B,Masculino,20,0,-1000,0,1,Viúvo(a),1,4,Cirurgia Veterinária,Igor Ramos,5.43,5,Regular,Clínica Veterinária,Eloá Aparecida,8.5,7,Regular,Microbiologia Veterinária,Srta. Hadassa da Rosa,8.53,10,Regular,Farmacologia Veterinária,Manuela Lima,6.95,11,Ruim,Anatomia Veterinária,Giovanna Barbosa,8.28,3,Excelente,1
45,Srta. Maria Laura Albuquerque,heitornovaes@example.org,Zootecnia,Matriculado,C,Feminino,31,1,9062,0,1,Relacioname,6,1,Comunicação Publicitária,Maya Barbosa,0.36,9,Ruim,Comportamento do Consumidor,Pedro Lucas Azevedo,1.48,8,Ruim,Marketing Digital,Mathias Cirino,0.28,15,Ruim,Publicidade Criativa,Dr. Caleb da Cruz,5.26,3,Regular,Relações Públicas,Maria Sophia Gonçalves,9.23,6,Regular,1
46,Mariana Montenegro,aragaocaua@example.net,Psicologia,Cancelado,B,Outro,34,0,9682,1,0,Amasiado(a),2,3,Ecologia,Leonardo Cirino,6.65,7,Regular,Tecnologias Ambientais,Letícia Silva,6.88,0,Regular,Sistemas de Gestão Ambiental,Josué Fogaça,0.38,6,Ruim,Política Ambiental,Dr. Paulo Novaes,3.11,8,Ruim,Gestão Ambiental,Ravi Cavalcante,4.63,0,Ruim,1
47,Pedro Lucas Correia,vitor-gabrielpacheco@example.org,Publicidade e Propaganda,Concluso,B,EXIT01,50,0,9931,1,1,Amasiado(a),6,4,Comportamento do Consumidor,Bento Macedo,9.83,2,Excelente,Comunicação Publicitária,Srta. Natália Garcia,4.61,8,Ruim,Marketing Digital,Maya Rodrigues,0.48,6,Ruim,Relações Públicas,Dra. Lívia Pimenta,5.79,3,Regular,Publicidade Criativa,Enzo Gabriel Rocha,9.05,0,Excelente,1
48,Sr. Diego Abreu,rafaelfernandes@example.net,Serviço Social,Matriculado,D,Outro,39,1,2897,0,0,Solteiro(a),3,3,Marketing da Moda,Henry Moreira,3.75,7,Ruim,Design de Moda,Luiza Farias,6.3,8,Regular,Gestão de Moda,Vinicius Aragão,2.57,11,Ruim,Produção de Moda,Manuela Moreira,3.05,6,Ruim,História da Moda,Sr. Enrico Sousa,9.63,12,Ruim,0
49,Anthony Mendes,pda-luz@example.com,Redes de Computadores,Cancelado,D,INVALID,36,1,7978,0,1,Divorciado(a),6,4,Redes de Dados,Maria Julia Sá,6.95,12,Ruim,Segurança em Redes,José Araújo,2.05,7,Ruim,Arquitetura de Redes,Maria Vitória Campos,3.12,2,Ruim,Administração de Redes,Lunna Correia,3.01,3,Ruim,Protocolos de Comunicação,Maria Isis Viana,9.09,6,Regular,1
50,Letícia da Paz,correiaana-clara@example.org,Farmácia,Cancelado,A,Outro,39,1,9317,1,1,Separado(a),3,2,Farmacologia,Diego Farias,2.74,10,Ruim,Cosmetologia,Luiz Henrique Melo,1.13,0,Ruim,Química Farmacêutica,Cauê Cavalcanti,5.61,1,Regular,Microbiologia,Elisa da Rocha,8.52,3,Excelente,Análises Clínicas,Sra. Evelyn Monteiro,3.01,12,Ruim,1
51,Jade Nascimento,joao49@example.net,Física,Concluso,D,Masculino,38,0,6968,1,0,Separado(a),5,1,Design de Moda,Olívia Cavalcante,5.17,0,Regular,História da Moda,Sr. Lucca Brito,9.38,1,Excelente,Marketing da Moda,Noah Moura,4.92,15,Ruim,Gestão de Moda,Sr. Joaquim Macedo,6.96,15,Ruim,Produção de Moda,Henry Gabriel Costela,8.67,6,Regular,1
52,Mirella Brito,ana-cecilia24@example.com,Terapia Ocupacional,Matriculado,A,Feminino,35,0,,1,0,Viúvo(a),7,2,Marketing e Vendas,Helena Azevedo,1.31,9,Ruim,Gestão de Vendas,Dr. Marcos Vinicius da Mata,9.81,5,Bom,Comportamento do Consumidor,Sr. Leonardo Câmara,4.21,11,Ruim,Gestão de Relacionamento,Bianca Montenegro,5.73,10,Regular,Gestão de Estoques,Vinícius Souza,8.55,0,Excelente,1
53,Sra. Beatriz Araújo,rsouza@example.org,Biblioteconomia,Matriculado,C,Feminino,47,0,7561,0,0,Casado(a),2,3,Leitura e Literatura,Fernando Macedo,9.23,15,Ruim,Gestão da Informação,Heloisa Lima,8.15,12,Ruim,Preservação de Documentos,Milena Sampaio,6.7,6,Regular,Gestão de Bibliotecas,Sr. Benício Nogueira,7.03,2,Bom,Catalogação,Lucas Gabriel da Mata,7.08,3,Bom,0
54,Maria Julia Teixeira,salesian@example.org,Psicologia,Trancado,B,902334,26,0,4657,1,1,Casado(a),5,4,Design Editorial,Thomas da Rosa,4.04,6,Ruim,Design Digital,Lavínia Nascimento,8.69,14,Ruim,Teoria do Design,Ágatha da Mata,7.6,7,Regular,Tipografia,Dr. Rodrigo Lima,5.73,8,Regular,Design de Interfaces,Arthur Gabriel Rios,0.73,7,Ruim,1
55,Sra. Ana Liz Melo,isis01@example.org,Ciências Sociais,Concluso,C,Masculino,70,0,3767,1,0,Solteiro(a),6,4,Psicologia Social,Olívia Nogueira,3.09,12,Ruim,Sociologia Geral,Murilo Sousa,4.76,2,Ruim,Antropologia,Vitor Hugo Moreira,2.1,2,Ruim,Teoria Social,Davi Miguel Caldeira,7.12,15,Ruim,Movimentos Sociais,Aurora Albuquerque,9.02,2,Excelente,0
56,Srta. Melina Carvalho,cavalcantelorenzo@example.com,Engenharia de Alimentos,Matriculado,C,Feminino,31,0,9242,0,1,Solteiro(a),5,2,Comportamento do Consumidor,Clara Silveira,0.24,1,Ruim,Gestão de Marketing,Luigi Azevedo,2.69,10,Ruim,Pesquisa de Mercado,Eduarda Oliveira,5.4,12,Ruim,Publicidade,Lorena Marques,0.39,2,Ruim,Marketing Digital,João Felipe Montenegro,0.06,15,Ruim,0
57,Alana Albuquerque,sophie99@example.com,email@gmail.com,Cancelado,C,Outro,41,0,4624,1,1,Solteiro(a),2,2,Nutrição e Dietética,Ravi Moreira,0.36,7,Ruim,Técnicas Culinárias,Lucca da Cunha,3.0,1,Ruim,Cultura Gastronômica,Dr. Luiz Miguel Sales,4.63,1,Ruim,Culinária Internacional,Gabriela Vasconcelos,3.79,6,Ruim,Gestão de Restaurante,Sr. Apollo Cavalcante,9.0,3,Excelente,1
58,Sra. Emanuella Siqueira,marinada-cruz@example.net,Turismo,Trancado,D,Masculino,NOTEXIST,0,2252,1,1,Separado(a),4,1,Gestão de Turismo,Theo Alves,5.49,3,Regular,Marketing Turístico,Gustavo da Rosa,7.08,15,Ruim,Turismo Cultural,Valentina Duarte,1.01,2,Ruim,História do Turismo,Sophia Duarte,0.03,3,Ruim,Planejamento de Turismo,João Pedro Pires,3.72,7,Ruim,1
59,Luana Costa,joao-pedropinto@example.org,Terapia Ocupacional,Matriculado,C,Outro,46,0,6892,0,0,Viúvo(a),2,1,Psicologia Clínica,Dr. Gustavo Garcia,9.61,10,Regular,Avaliação Terapêutica,Pietra Cardoso,0.53,15,Ruim,Fisioterapia,Sophia Sousa,3.58,8,Ruim,Técnicas de Reabilitação,Luiz Fernando Camargo,0.59,4,Ruim,Desenvolvimento Humano,Isabella Sá,4.22,8,Ruim,0
60,Srta. Manuella Porto,beatrizfreitas@example.org,Gestão Pública,Matriculado,D,Feminino,65,0,1886,0,0,Separado(a),4,3,Gestão de Políticas Públicas,Thales Sousa,3.76,7,Ruim,Gestão de Pessoas,Srta. Stephany Rezende,2.3,10,Ruim,Gestão de Projetos,Liz Duarte,3.87,1,Ruim,Administração Pública,João Vitor Costela,9.24,11,Ruim,Finanças Públicas,Levi Gonçalves,6.14,11,Ruim,1
61,Yago Andrade,tferreira@example.org,Teatro,Cancelado,A,Masculino,38,0,4938,0,1,Casado(a),4,2,Cenografia,Lunna Garcia,1.72,8,Ruim,História do Teatro,Samuel Rocha,3.46,1,Ruim,Direção Teatral,Pedro Henrique da Rocha,2.95,10,Ruim,Iluminação Teatral,Davi Lucas Vasconcelos,8.2,0,Excelente,Roteiro Teatral,Anna Liz Carvalho,9.6,0,Excelente,1
